opeid6,name,VA_earnings,VA_condearnings,VA_emp,VA_gainfulemp
1007,Central Alabama Community College,12671.984,7790.6826,.23583505,.30393529
1013,John C Calhoun State Community College,9253.1387,5624.3091,.16699,.25068641
1015,Enterprise State Community College,9530.0947,6442.8228,.15394251,.23359545
1017,Gadsden State Community College,9557.6875,5485.4453,.18547834,.27540079
1018,George C Wallace Community College-Dothan,9791.3359,6904.6572,.16119263,.25427234
1021,Jefferson Davis Community College,10785.473,5356.6714,.22085838,.28463715
1022,Jefferson State Community College,9386.7178,4476.6909,.18734507,.27885792
1030,Bishop State Community College,8559.5146,4009.3538,.19298705,.26669306
1031,Northeast Alabama Community College,9290.9385,4617.5386,.18616921,.22001261
1034,Alabama Southern Community College,10221.012,5070.7837,.21382064,.27741027
1038,Snead State Community College,10032.246,5466.5005,.19186826,.25164232
1040,Southern Union State Community College,9146.5947,4453.7949,.190972,.25278348
1059,Lawson State Community College-Birmingham Campus,8709.4336,4617.3579,.19555883,.29921743
1060,Coastal Alabama Community College,8841.1523,3480.655,.19444495,.27014053
1071,Arizona Western College,9384.5078,3149.1028,.19355045,.24566992
1072,Cochise County Community College District,8479.8018,4967.1421,.15471913,.24902634
1073,Eastern Arizona College,9509.9189,4444.4985,.1845167,.27308923
1076,Glendale Community College,8775.6025,3882.946,.16718808,.26401138
1077,Mesa Community College,9406.6455,4952.2627,.15939353,.26860499
1078,Phoenix College,8939.2402,3458.3542,.17358276,.26573372
1079,Yavapai College,9619.8643,6811.2339,.14531718,.27401319
1090,Arkansas State University-System Office,12081.32,8012.1123,.1839951,.32152325
1091,Arkansas State University-Beebe,8314.8047,4338.7983,.17516096,.23625201
1104,Phillips Community College of the University of Arkansas,8292.8193,4667.2915,.17254895,.21996
1111,Allan Hancock College,8189.5947,3374.416,.15474433,.23435277
1113,Antelope Valley College,6061.7778,2170.3906,.13566186,.23879841
1118,Bakersfield College,10198.636,3229.4365,.19805476,.26570469
1119,Barstow Community College,5192.2495,8.8778944,.16200131,.18976505
1124,Cabrillo College,8491.4512,2735.6379,.1647823,.25960442
1161,Cerritos College,9689.8838,3511.6704,.17886063,.27482623
1162,Chabot College,9090.5137,4380.5659,.15136987,.25689679
1163,Chaffey College,8510.9961,3153.5872,.16336632,.24908166
1166,Citrus College,7771.9087,2488.6545,.16748263,.2595847
1176,West Hills College-Coalinga,8349.2734,1380.1931,.20611937,.2299048
1178,College of Marin,10273.597,5877.7471,.15141588,.2773717
1181,College of San Mateo,11688.082,7191.9399,.15614042,.28394759
1182,College of the Desert,8441.9385,2644.2424,.17729369,.26247182
1185,College of the Redwoods,8503.0049,4751.8262,.1612297,.27802452
1186,College of the Sequoias,8678.1387,1754.0364,.20406979,.24151629
1187,College of the Siskiyous,10215.297,5353.5273,.19170165,.29714045
1190,Contra Costa College,8595.3643,4437.7451,.14575492,.26371118
1191,Diablo Valley College,10546.986,6304.1606,.14952479,.28101969
1192,Cuesta College,10318.432,6192.8467,.16274543,.30048242
1193,Cypress College,9830.9434,5151.835,.16528283,.29573873
1197,El Camino Community College District,9834.9629,3260.394,.18977711,.27479187
1201,Fullerton College,8140.7192,3184.1143,.15711156,.26673654
1202,Gavilan College,6997.3003,870.16498,.17430815,.2171676
